100 3606
0 99 51
0 1 78
0 2 73
0 4 56
0 5 88
5 0 86
0 6 86
0 8 91
0 9 51
0 11 25
0 12 3
0 13 97
0 16 10
0 20 81
0 21 24
0 22 73
0 23 64
0 24 56
0 25 75
0 27 55
0 28 4
0 29 65
0 30 79
0 31 36
31 0 29
0 32 54
0 34 60
0 35 32
0 36 51
0 37 5
0 38 21
38 0 56
0 39 85
0 41 98
0 42 20
0 43 15
0 44 75
0 45 70
0 46 6
0 47 57
0 48 85
0 49 28
0 50 47
0 52 56
0 54 48
0 55 69
0 57 55
0 60 42
0 62 22
0 63 26
0 64 47
0 65 10
0 69 76
0 70 67
0 71 73
71 0 32
0 72 11
0 74 30
0 75 75
75 0 93
0 76 21
0 77 67
0 78 47
78 0 92
0 79 1
0 80 54
80 0 59
0 81 98
0 84 43
0 85 44
0 87 12
0 88 29
0 89 66
0 90 33
0 93 39
0 95 22
0 97 21
0 98 47
1 2 97
1 4 92
1 5 3
1 6 67
1 14 30
1 15 38
1 16 94
1 19 10
1 21 35
1 22 20
1 24 46
24 1 1
1 25 47
1 26 62
1 28 10
1 29 48
1 30 47
1 32 78
1 34 70
1 37 21
1 38 29
1 39 80
1 40 33
1 42 79
1 43 27
1 48 48
1 49 59
1 50 67
1 53 32
1 54 72
1 55 26
1 56 5
1 57 59
1 60 53
1 62 100
1 63 92
1 64 44
64 1 64
1 65 20
1 66 11
1 68 50
1 69 54
1 70 99
1 72 73
1 73 100
1 74 96
1 75 47
1 76 25
1 79 2
1 80 6
1 81 28
1 82 80
1 84 56
1 85 80
85 1 67
1 86 35
1 88 3
1 89 77
1 92 22
1 94 93
1 95 12
1 97 30
1 98 26
2 4 24
2 5 50
2 6 85
2 8 39
2 10 73
2 12 78
2 13 36
2 15 24
2 16 89
2 17 83
2 18 40
2 19 95
2 20 55
20 2 73
2 21 42
2 23 85
23 2 19
2 24 56
2 26 93
2 27 86
2 28 19
2 29 2
2 31 30
2 32 1
2 34 17
2 35 100
2 36 29
2 39 24
2 40 56
2 41 97
2 43 6
2 44 5
2 45 39
45 2 99
2 46 73
2 47 6
2 48 20
2 49 67
2 50 33
2 51 29
51 2 47
2 53 6
53 2 85
2 54 74
2 55 58
55 2 22
2 56 60
56 2 3
2 59 60
2 60 45
2 61 77
2 62 51
2 63 30
63 2 23
2 64 17
2 65 74
2 67 99
2 68 85
2 69 17
69 2 14
2 70 40
2 72 20
2 73 83
2 74 2
2 75 24
2 77 8
2 79 11
2 80 94
2 81 33
2 82 13
2 84 23
2 85 53
2 87 50
2 88 59
2 89 70
2 91 77
2 92 95
2 93 30
